"pa","bclim11","bclim12","bclim14","bclim15","bclim18","bclim2","bclim3","bclim4","bclim6","bclim7","bclim8","bclim9"
0,9.92533302307129,468,5,46.2208137512207,109,13.8973331451416,40.483959197998,784.39208984375,3.21600008010864,34.3279991149902,10.9693336486816,21.8173332214355
0,0.752666652202606,249,6,41.685848236084,75,18.236665725708,44.3628196716309,854.263671875,-8.21599960327148,41.1079978942871,21.2413330078125,14.8333330154419
1,5.30800008773804,258,5,45.4235572814941,80,14.5233325958252,41.2970123291016,794.639404296875,-1.28400003910065,35.1679992675781,6.16866683959961,16.3433322906494
1,7.86866664886475,126,1,68.4194183349609,13,15.7066669464111,41.9695053100586,810.217712402344,0.38400000333786,37.423999786377,9.40333366394043,24.9759998321533
1,6.77533340454102,476,1,90.7527160644531,13,16.0063343048096,51.2104339599609,575.576721191406,-0.172000005841255,31.2560005187988,6.77533340454102,20.2573337554932
0,7.03200006484985,554,1,90.8397750854492,15,15.9370002746582,52.3279495239258,541.575622558594,0.156000003218651,30.4559993743896,7.37866640090942,19.5973339080811
1,7.28999996185303,204,5,34.4916572570801,41,17.3906669616699,43.3293495178223,855.576965332031,-0.892000019550323,40.1359977722168,8.88533401489258,20.6493339538574
0,7.15333318710327,423,8,60.748046875,158,18.3299999237061,50.0054550170898,738.040710449219,-1.91999995708466,36.6559982299805,24.5413341522217,19.1386661529541
0,-0.346666485071182,412,10,39.5919990539551,118,18.6206665039062,46.3569679260254,803.89697265625,-8.97599983215332,40.1679992675781,18.8239994049072,12.9259996414185
0,7.21133327484131,141,3,39.3047103881836,35,17.5130004882812,43.6080703735352,848.275451660156,-1.38800001144409,40.1599998474121,8.95533275604248,20.5480003356934
1,5.92866659164429,290,2,78.247673034668,19,14.5050001144409,44.292781829834,696.700073242188,-0.404000014066696,32.7479972839355,6.66599988937378,22.4266662597656
1,8.02400016784668,197,1,86.1577453613281,6,16.0799999237061,44.268253326416,741.970275878906,-0.272000014781952,36.3239974975586,9.55200004577637,23.4179992675781
1,8.71933269500732,170,2,49.4072418212891,57,14.8176670074463,40.7885551452637,826.93798828125,1.62399995326996,36.3279991149902,9.94799995422363,20.9033336639404
1,0.41933336853981,385,9,63.1606979370117,50,14.923999786377,45.2352066040039,699.403259277344,-6.24000024795532,32.992000579834,0.41933336853981,13.4326667785645
1,8.10066699981689,203,1,85.1284103393555,6,15.8563327789307,44.8730278015137,716.910949707031,0.180000007152557,35.3359985351562,9.5,22.7940006256104
0,7.76666688919067,283,1,58.3699073791504,36,17.433666229248,47.2252311706543,743.028137207031,-0.131999999284744,36.9160003662109,7.76666688919067,23.054666519165
1,7.05066680908203,124,3,40.9274368286133,27,17.6143321990967,43.2402153015137,847.288452148438,-2.22000002861023,40.7360000610352,9.04533290863037,20.7653331756592
1,7.33533334732056,144,3,43.6377067565918,38,15.0773324966431,39.1253204345703,876.978637695312,-0.068000003695488,38.5359992980957,9.21199989318848,21.3020000457764
